Data Type,Characteristic,Total Debt,Secured Debt -Total,Secured Debt -Home Debt,Secured Debt -Business Debt,Secured Debt -Vehicle Debt,Unsecured Debt -Total,Unsecured Debt -Credit Card Debt,Unsecured Debt -Student Loans,Unsecured Debt -Medical Debt,Unsecured Debt -Other Debt
Household Income,Third quintile,"45,380","60,900","112,000","30,000","14,000","8,000","3,000","20,000","2,000","5,000"
Household Income,Fourth quintile,"108,000","119,100","145,000","18,000","16,000","11,000","4,300","24,000","2,000","9,000"
Household Income,Highest quintile,"223,000","225,000","225,000","48,000","19,400","15,000","5,000","25,000","2,000","12,000"
Poverty Status,Household Income Below Poverty Threshold,"13,750","25,000","98,000","30,000","12,000","5,350","2,500","16,000","2,000","2,000"
Poverty Status,Household Income Above Poverty Threshold,"70,000","103,000","150,000","30,000","15,000","9,000","3,500","21,000","2,000","7,000"
Household Networth,Negative or zero,"36,200","18,000","140,000",(B),"14,000","25,000","4,000","40,000","3,000","5,550"
Household Networth,"$1 to $4,999","4,000","9,000","95,500",(B),"7,500","2,000","1,200","7,000","1,200","1,500"
Household Networth,"$5,000 to $9,999","9,800","13,750","98,900",(B),"10,000","2,700","1,500","10,000","1,400",(B)
Household Networth,"$10,000 to $24,999","13,000","20,000","109,000",(B),"11,000","4,800","2,000","13,000","1,200","4,000"
Household Networth,"$25,000 to $49,999","27,000","50,000","115,000",(B),"12,000","7,500","3,000","14,000","1,800","4,000"
Household Networth,"$50,000 to $99,999","62,000","83,500","117,000","10,000","14,000","8,000","3,500","16,000","2,000","6,000"
Household Networth,"$100,000 to $249,999","93,200","109,000","125,000","15,000","14,800","8,000","3,800","19,000","2,000","7,000"
Household Networth,"$250,000 to $499,999","104,500","133,700","152,000","18,000","16,000","7,300","4,000","16,000","2,000","8,000"
Household Networth,"$500,000 and over","158,000","185,000","190,000","70,000","18,000","6,800","4,000","16,000","1,900","10,000"
Health Insurance,Health insurance coverage for all household members all year,"72,000","110,000","150,000","30,000","15,000","8,000","3,500","22,000","2,000","7,000"
Health Insurance,No health insurance coverage for some or all household members during the year,"32,000","45,000","122,000","19,000","14,000","10,000","3,000","19,000","2,300","5,000"
Disability,No household member with a disability,"80,000","115,000","160,000","30,000","15,000","9,000","3,200","21,000","2,000","7,000"
Disability,One or more household members with a disability,"41,800","74,000","120,000","25,000","14,000","7,600","3,500","20,000","2,500","5,000"
Health Status,No household member with poor or fair health,"75,000","111,500","155,000","30,000","15,000","8,800","3,000","22,000","2,000","7,000"
Health Status,One or more household members with poor or fair health,"37,200","67,600","116,000","20,000","14,000","8,000","3,900","20,000","2,500","5,000"
Hospital Stays,No household member spending a night in a hospital,"64,000","100,600","150,000","30,000","15,000","8,000","3,300","20,000","2,000","6,000"
Hospital Stays,At least one household member spending at least one night in a hospital,"54,200","85,000","132,000","30,000","14,630","9,840","3,600","20,000","3,000","5,100"
Medical Expenses,No medical expenses,"24,500","63,300","147,000","30,000","12,600","5,000","2,500","17,000","2,000","4,000"
Medical Expenses,$1 to $999,"47,700","79,900","130,000","20,000","14,000","7,100","3,000","21,000","1,780","5,000"
Medical Expenses,"$1,000 to $2,499","94,270","118,000","150,000","30,000","15,000","10,000","4,000","23,000","2,000","6,000"
Medical Expenses,"$2,500 and over ","121,800","140,000","163,000","45,000","17,400","12,500","5,000","23,000","3,000","10,000"
Participation in Government Programs,None,"84,100","115,000","150,000","36,000","15,000","9,000","3,500","24,000","2,000","8,000"
Participation in Government Programs,One or more,"25,000","48,000","120,000","18,000","13,000","7,000","3,000","17,000","2,000","4,000"
Participation in Government Programs,SNAP (food stamps),"16,460","25,000","98,000",(B),"11,000","6,000","3,000","18,000","2,000","2,500"
Participation in Government Programs,Medicaid,"25,000","45,000","120,000","18,000","13,000","7,300","3,000","17,000","2,000","3,500"
Participation in Government Programs,Supplemental Security Income (SSI),"17,500","53,000","101,000",(B),"14,000","5,800","2,500","14,300","2,500","2,000"
Participation in Government Programs,WIC,"25,000","30,000","114,000",(B),"14,000","8,000","2,800","17,000","2,500","3,000"
Food Security,High or marginal food security,"70,000","104,500","150,000","30,000","15,000","8,500","3,500","21,000","2,000","7,000"
Food Security,Low food security,"20,500","33,300","110,000",(B),"12,000","7,000","3,000","15,000","2,100","3,000"
Food Security,Very low food security,"18,100","20,000","84,000",(B),"10,000","10,000","3,000","25,000","3,200","3,080"
Region,Northeast,"57,000","110,000","150,000","30,000","14,000","9,000","3,850","25,000","1,800","7,000"
Region,Midwest,"61,000","83,000","112,000","27,500","13,000","8,000","3,000","24,000","2,000","5,000"
Region,South,"55,900","83,000","135,000","25,000","15,000","8,500","3,300","20,000","2,200","6,000"
Region,West,"92,900","160,000","214,000","33,000","15,000","8,100","4,000","20,000","2,000","7,000"
Housing Tenure,Owner,"130,000","140,000","148,000","30,600","16,000","8,400","4,000","20,000","2,100","8,000"
Housing Tenure,Renter,"14,730","12,000",(B),"15,000","12,000","8,000","2,500","22,100","2,000","3,600"
Ability to Pay Housing,Unable to pay rent or mortgage,"37,290","79,500","140,000","14,000","13,000","10,750","4,000","20,000","2,500","4,000"
Ability to Pay Housing,Able to pay rent or mortgage,"64,000","100,000","149,000","30,000","15,000","8,000","3,300","20,000","2,000","6,000"
